OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,snap,wic
95,Letcher,Walmart,Grocery,"350 Cs-1003, Whitesburg, KY 41858",606-633-0152,37.11702,-82.79496,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/552/whitesburg-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
96,Letcher,Price Less Foods,Grocery,"34 Whitesburg Plaza, Whitesburg, KY 41858",606-633-3086,37.116183,-82.796438,Everyday 7-10,"<a href = ""https://www.mypricelessfoods.com/"">Click here to access their website</a>",N/A,Yes,No
97,Letcher,Isom IGA,Grocery,"29 Isom Dr, Isom, KY 41824",606-633-9820,37.184116,-82.907006,"Mon-Sat 7-9, Sun 10-9","<a href = ""https://isom.iga.com/"">Click here to access their website</a>",N/A,Yes,Yes
98,Letcher,Frank's Market,Grocery,"32 Marshalls Branch, Jenkins, KY 41537",606-639-2118,37.206595,-82.58036,N/A,N/A,Approximate location,No,No
99,Lewis,Save-a-Lot,Grocery,"50 Market St, Vanceburg, KY 41179",606-796-2424,38.599406,-83.335159,Everyday 7-10,"<a href = ""https://savealot.com/grocery-stores/vanceburg-41179-45093/"">Click here to access their website</a>",N/A,Yes,Yes
100,Lewis,Ron's IGA,Grocery,"4577 KY-10, Tollesboro, KY 41189",606-798-3921,38.560933,-83.594921,"Mon-Sat 8-8, Sun 10-7","<a href = ""https://ronsiga.net/"">Click here to access their website</a>",N/A,Yes,Yes
101,Lincoln,Durham's Grocery,Grocery,"606 Lancaster St, Stanford, KY 40484",606-365-2716,37.532842,-84.661425,"Mon-Sat 7-8, Sun 8-8","<a href = ""https://www.durhamsgrocery.com/ads"">Click here to access their website</a>",N/A,No,Yes
102,Lincoln,Save-a-Lot,Grocery,"100 Lacy St, Stanford, KY 40484",606-365-1187,37.531752,-84.65226,"Mon-Sat 9-9, Sun 8-9","<a href = ""https://savealot.com/grocery-stores/stanford-40484-24738/"">Click here to access their website</a>",N/A,Yes,Yes
103,Lincoln,Walmart Supercenter,Grocery,"1283 US-27 N, Stanford, KY 40484",606-365-2153,37.547822,-84.646965,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/825/stanford-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
104,Madison,Aldi,Grocery,"798 Eastern Bypass, Richmond, KY 40475",855-955-2534,37.730503,-84.287053,Everyday 9-8,"<a href = ""https://www.aldi.us/en/weekly-specials/our-weekly-ads/"">Click here to access their website</a>",N/A,Yes,No
105,Madison,Walmart Supercenter,Grocery,"820 Eastern Bypass, Richmond, KY 40475",859-624-4330,37.728779,-84.283208,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/719/richmond-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
106,Madison,Meijer,Grocery,"2013 Lantern Ridge Dr, Richmond, KY 40475",859-575-5010,37.737839,-84.333296,24/7,"<a href = ""https://www.meijer.com/shop/en/store/258"">Click here to access their website</a>",N/A,Yes,Yes
107,Madison,Kroger,Grocery,"890 Richmond Plaza, Richmond, KY 40475",859-624-1093,37.73127,-84.274249,Mon-Fri 8-10,"<a href = ""https://www.kroger.com/stores/details/024/00705?cid=loc_02400705PP_gmb"">Click here to access their website</a>",N/A,Yes,Yes
108,Madison,Save-a-Lot,Grocery,"5042 Atwood Dr, Richmond, KY 40475",859-623-4499,37.756622,-84.269793,"Mon-Sat 8-9, Sun 10-7","<a href = ""https://savealot.com/grocery-stores/richmond-40475-24654/"">Click here to access their website</a>",N/A,Yes,Yes
109,Madison,Tienda Y Taqueria Hidalgo,Grocery,"517 Leighway Dr, Richmond, KY 40475",859-625-0945,37.737104,-84.315159,Everyday 9-9,"<a href = ""https://tienda-y-taqueria-hidalgo.business.site/"">Click here to access their website</a>",N/A,No,Yes
110,Madison,Save-a-Lot,Grocery,"403 Richmond Rd N, Berea, KY 40403",859-986-0338,37.589122,-84.285876,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/berea-40403-24495/"">Click here to access their website</a>",N/A,Yes,Yes
111,Madison,Kelly's Fruit Market,Grocery,"476 Eastern Bypass, Richmond, KY 40475",859-624-2873,37.736173,-84.311406,Mon-Sat 10-5,"<a href = ""https://www.facebook.com/KellysFruitMarket/"">Click here to access their website</a>",N/A,No,No
112,Madison,Walmart Supercenter,Grocery,"120 Jill St, Berea, KY 40403",859-986-2324,37.565356,-84.312601,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/1190/berea-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
113,Magoffin,Salyersville IGA,Grocery,"433 Parkway Dr, Salyersville, KY 41465",606-349-2214,37.746551,-83.062944,"Mon-Sat 7-10, Sun 9-9","<a href = ""https://salyersville.iga.com/"">Click here to access their website</a>",N/A,Yes,Yes
114,Magoffin,Poor Boy's Produce,Grocery,"Old Burning Fork Rd, Salyersville, KY 41465",606-349-1224,37.742689,-83.052203,Mon-Fri 8-4,"<a href = ""https://www.facebook.com/PoorBoysProduceLondonFleaMarket/"">Click here to access their website</a>",N/A,No,No
115,Magoffin,Save-a-Lot,Grocery,"735 E Mountain Pkwy, Salyersville, KY 41465",606-349-8616,37.742689,-83.052203,"Mon-Sat 8-9, Sun 9-9","<a href = ""https://savealot.com/grocery-stores/salyersville-41465-24291/"">Click here to access their website</a>",N/A,Yes,Yes
116,Magoffin,Samuel Lyon's Grocery,Grocery,"1885 Coon Creek Rd, Salyersville, KY 41465",606-349-3544,37.818441,-83.096031,"Mon-Sat 8-8, Sun 10-7",N/A,N/A,No,Yes
117,Magoffin,Oakley Country Store,Grocery,"497 River Rd, Salyersville, KY 41465",606-884-6622,37.677594,-83.037343,N/A,N/A,N/A,No,Yes
118,Martin,Save-a-Lot,Grocery,"6127 Bypass Route 645, Inez, KY 41224",606-298-0030,37.860481,-82.555845,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/inez-41224-24472/"">Click here to access their website</a>",N/A,Yes,Yes
119,Martin,Jude's Produce,Grocery,"Blacklog Rd, Inez, KY 41224",606-534-4010,37.856965,-82.520499,N/A,"<a href = ""https://www.facebook.com/Judes-Produce-1528429117487573/"">Click here to access their website</a>",N/A,No,No
120,Martin,Warfield IGA,Grocery,"9134 Beauty Rd, Warfield, KY 41267",606-395-5245,37.856965,-82.520499,"Mon-Sat 8-10, Sun 9-10","<a href = ""https://warfieldiga.com/location"">Click here to access their website</a>",N/A,Yes,Yes
121,McCreary,Kroger,Grocery,"1187 N, US-27, Whitley City, KY 42653",606-376-2700,36.739253,-84.474018,Everyday 5-10,"<a href = ""https://www.kroger.com/onlinedeli/servlet/en/delibakery"">Click here to access their website</a>",N/A,Yes,Yes
122,McCreary,Save-a-Lot,Grocery,"65 Crit King Rd, Whitley City, KY 42653",606-376-3626,36.718313,-84.467106,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/whitley-city-42653-24735/"">Click here to access their website</a>",N/A,Yes,Yes
123,Menifee,Frenchburg IGA,Grocery,"1175 KY-36, Frenchburg, KY 40322",606-768-4111,37.964847,-83.614258,"Mon-Sat 7-8, Sun 8-8","<a href = ""https://frenchburgiga.com/"">Click here to access their website</a>",N/A,Yes,Yes
124,Montgomery,Kroger,Grocery,"810 Indian Mound Dr, Mt Sterling, KY 40353",859-497-4314,38.061319,-83.953746,Everyday 6-1,"<a href = ""https://www.kroger.com/stores/details/024/00712?cid=loc_02400712_gmb"">Click here to access their website</a>",N/A,Yes,Yes
125,Montgomery,Walmart Supercenter,Grocery,"499 Indian Mound Dr, Mt Sterling, KY 40353",859-497-9401,38.069238,-83.957167,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/1140/mount-sterling-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
126,Montgomery,Save-a-Lot,Grocery,"605 Doe Run Dr, Mt Sterling, KY 40353",859-498-3076,38.072536,-83.918487,"Mon-Sat 8-8, Sun 12-6","<a href = ""https://savealot.com/grocery-stores/mt-sterling-40353-22809/"">Click here to access their website</a>",N/A,Yes,Yes
127,Montgomery,Creech's Food Mart,Grocery,"3252 US-460, Camargo, KY 40353",859-498-0977,38.000949,-83.899641,"Mon-Fri 7:30-10, Sat-Sun 8-10","<a href = ""https://www.facebook.com/pages/Creechs-Food-Mart/118911081495213"">Click here to access their website</a>",N/A,Yes,No
128,Montgomery,Walnut Leaf Country Market,Grocery,"4004 Camargo Rd Carmago, KY 40353",859-520-3105,37.999131,-83.897331,Mon-Sat 9-6,"<a href = ""https://www.facebook.com/pages/Walnut-Leaf-Country-Ma/1535104786599729"">Click here to access their website</a>",N/A,Yes,No
129,Morgan,West Liberty IGA,Grocery,"64 KY-191, West Liberty, KY 41472",606-743-2465,37.897108,-83.283523,"Mon-Sat 7-10, Sun 9-9","<a href = ""https://westlibertyiga.com/ads"">Click here to access their website</a>",N/A,Yes,Yes
130,Morgan,Save-a-Lot,Grocery,"7644 Liberty Rd W, West Liberty, KY 41472",606-743-2135,37.897663,-83.287556,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/west-liberty-41472-24741/"">Click here to access their website</a>",N/A,Yes,Yes
131,Owsley,Shopwise,Grocery,"277 KY-28, Old Landing, KY 41311",606-593-7308,37.47542,-83.669776,"Mon-Sat 7:30-9, Sun 12-6","<a href = ""https://www.facebook.com/BoonevilleShopwise/"">Click here to access their website</a>",N/A,Yes,Yes
132,Perry,United Grocery Outlet,Grocery,"410 Village Ln, Hazard, KY 41701",606-435-0543,37.279961,-83.232135,"Mon-Sat 8-8, Sun 10-6","<a href = ""http://www.myugo.com/"">Click here to access their website</a>",N/A,Yes,Yes
133,Perry,Bulan Meats and Grocery,Grocery,"5633 KY-476, Bulan, KY 41722",606-436-2432,37.298897,-83.166895,"Mon-Sat 8-8, Sun 10-8","<a href = ""https://www.facebook.com/bulanmeats.ngrocery/"">Click here to access their website</a>",N/A,Yes,No
134,Perry,Food City,Grocery,"50 Morton Blvd, Hazard, KY 41701",606-436-8204,37.298897,-83.166895,Everyday 7-10,"<a href = ""https://www.foodcity.com/stores/store-details/438/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=438"">Click here to access their website</a>",N/A,Yes,Yes
135,Perry,Walmart Supercenter,Grocery,"120 Daniel Boone Plaza, Hazard, KY 41701",606-439-1882,37.298897,-83.166895,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/1247/hazard-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
136,Perry,Save-a-Lot,Grocery,"163 Citizens Lane, Hazard, KY 41701",606-439-6510,37.260125,-83.199264,Everyday 9-9,"<a href = ""https://savealot.com/grocery-stores/hazard-41701-24475/"">Click here to access their website</a>",N/A,Yes,Yes
137,Perry,Happy IGA,Grocery,"10036 KY-15, Vicco, KY 41773",606-476-8729,37.2054,-83.090866,Mon-Sat 7:30-8pm,"<a href = ""https://happyiga.com/"">Click here to access their website</a>",N/A,Yes,Yes
138,Perry,Save-a-Lot,Grocery,"52 Grand Vue Plaza, Hazard, KY 41701",606-435-0002,37.2054,-83.090866,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/hazard-41701-24474/"">Click here to access their website</a>",N/A,Yes,Yes
139,Pike,Walmart Supercenter,Grocery,"254 Cassidy Blvd, Pikeville, KY 41501",606-432-6177,37.507048,-82.540489,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/1505/pikeville-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
140,Pike,Save-a-Lot,Grocery,"4195 N Mayo Trail, Pikeville, KY 41501",606-433-0827,37.52338,-82.573346,"Mon-Sat 8-9, Sun 10-9","<a href = ""https://savealot.com/grocery-stores/pikeville-41501-24469/"">Click here to access their website</a>",N/A,Yes,Yes
141,Pike,Save-a-Lot,Grocery,"240 S Mayo Trail, Pikeville, KY 41501",606-432-8867,37.471299,-82.533412,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/pikeville-41501-24468/"">Click here to access their website</a>",N/A,Yes,Yes
142,Pike,Food City,Grocery,"28093 Thompson Plaza, South Williamson, KY 41503",606-237-1150,37.653951,-82.270528,Everyday 7-10,"<a href = ""https://www.foodcity.com/stores/store-details/425/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=425"">Click here to access their website</a>",N/A,Yes,Yes
143,Pike,Save-a-Lot,Grocery,"669 KY-610, Virgie, KY 41572",606-639-0085,37.340767,-82.591351,"Mon-Sat 8-9, Sun 9-8","<a href = ""https://savealot.com/grocery-stores/virgie-41572-25000/"">Click here to access their website</a>",N/A,Yes,Yes
144,Pike,Save-a-Lot,Grocery,"13300 Phelps 632 Rd, Phelps, KY 41553",606-456-8704,37.509733,-82.159758,"Mon-Sat 8-9, Sun 9-8","<a href = ""https://savealot.com/grocery-stores/phelps-41553-45108/"">Click here to access their website</a>",N/A,Yes,Yes
145,Pike,Walmart Supercenter,Grocery,"28402 US-119, South Williamson, KY 41503",606-237-0477,37.658862,-82.271161,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/2548/south-williamson-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
146,Pike,Save-a-Lot,Grocery,"28640 US-119, Goody, KY 41514",606-237-5928,37.661314,-82.272467,"Mon-Sat 8-9, Sun 9-8","<a href = ""https://savealot.com/grocery-stores/goody-41514-23506/"">Click here to access their website</a>",N/A,Yes,Yes
147,Pike,Mike Tackett's Market,Grocery,"145 KY-610, Virgie, KY 41572",606-639-2388,37.347989,-82.592677,N/A,N/A,N/A,Yes,Yes
148,Pike,Food City #458,Grocery,"215 Cassidy Blvd Pikeville , KY 41501",606-432-8150,37.504613,-82.53673,Everyday 7-10,"<a href = ""https://www.foodcity.com/stores/store-details/458/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=458"">Click here to access their website</a>",N/A,Yes,Yes
149,Pike,Food City #475,Grocery,"2138 S. Mayo Trail Pikeville , KY 41501",606-432-0796,37.439819,-82.509933,Everyday 7-10,"<a href = ""https://www.foodcity.com/stores/store-details/475/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=475"">Click here to access their website</a>",N/A,Yes,Yes
150,Pike,Reynold's Produce,Grocery,"673 Bypass Rd Pikeville, KY 41501",606-437-7821,37.478357,-82.515294,Mon-Sat 7-6,"<a href = ""https://www.facebook.com/ReynoldsProduceMarket/"">Click here to access their website</a>",N/A,Yes,Yes
151,Pike,Quality Foods,Grocery,"5284 Collins Hwy, Robinson Creek KY 41560",606-639-2560,37.386761,-82.538592,Everyday 8-11,N/A,N/A,Yes,Yes
152,Pike,Quality Foods,Grocery,"10023 US-460 Regina, KY 41559",606-754-5443,37.386761,-82.538592,"Mon-Fri 7-11, Sat-Sun 8-11",N/A,N/A,Yes,Yes
153,Pike,Quality Foods,Grocery,"11341 State Hwy 1056 McCarr, KY 41544",606-427-1004,37.619806,-82.167257,"Mon-Fri 7-11, Sat-Sun 8-11",N/A,N/A,Yes,Yes
154,Pike,Velocity Market,Grocery,"533 Hambley Blvd # 1 Pikeville, KY 41501",606-432-4112,37.485388,-82.524534,Everyday 8-10,"<a href = ""https://www.facebook.com/VelocityMarket/"">Click here to access their website</a>",N/A,Yes,Yes
155,Pike,Velocity Market,Grocery,"4704 Zebulon Hwy Pikeville, KY 41501",606-432-5419,37.532852,-82.4674,Everyday 8-10,"<a href = ""https://www.facebook.com/VelocityMarket/"">Click here to access their website</a>",N/A,Yes,Yes
156,Pike,Velocity Market,Grocery,"197 Elkhorn Creek Rd Elkhorn City, KY 41522",606-754-4725,37.294853,-82.363056,Everyday 8-11,"<a href = ""https://www.facebook.com/VelocityMarketElkhorn/"">Click here to access their website</a>",N/A,Yes,Yes
157,Powell,Kroger,Grocery,"179 W College Ave, Stanton, KY 40380",606-663-2873,37.84436,-83.861737,Everyday 7-10,"<a href = ""https://www.kroger.com/stores/details/024/00411?cid=loc_02400411_gmb"">Click here to access their website</a>",N/A,Yes,Yes
158,Powell,Superior IGA,Grocery,"5669 Main St, Clay City, KY 40312",606-663-1500,37.865522,-83.940009,Everyday 7-9,"<a href = ""https://www.facebook.com/SuperiorIGA/"">Click here to access their website</a>",N/A,Yes,Yes
159,Powell,Save-a-Lot,Grocery,"576 E College Ave, Stanton, KY 40380",606-663-5714,37.844827,-83.847417,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/stanton-40380-23614/"">Click here to access their website</a>",N/A,Yes,Yes
160,Pulaski,Kroger,Grocery,"181 S Hwy 27, Somerset, KY 42501",606-678-5147,37.090977,-84.619231,Everyday 7-10,"<a href = ""https://www.kroger.com"">Click here to access their website</a>",N/A,Yes,Yes
161,Pulaski,Walmart Supercenter,Grocery,"177 Washington Dr, Somerset, KY 42501",606-679-9204,37.068394,-84.622848,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/689/somerset-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
162,Pulaski,Kroger,Grocery,"50 Stonegate Center, Somerset, KY 42501",606-678-0202,37.058293,-84.625266,Everyday 7-10,"<a href = ""https://www.kroger.com/stores/details/024/00745?cid=loc_02400745_gmb"">Click here to access their website</a>",N/A,Yes,Yes
163,Pulaski,IGA,Grocery,"470 E, KY-80, Somerset, KY 42501",606-677-2409,37.100903,-84.614031,Everyday 7-11pm,"<a href = ""https://www.myiga.com/"">Click here to access their website</a>",N/A,Yes,Yes
164,Pulaski,Save-a-Lot,Grocery,"1114 N US-27, Somerset, KY 42503",606-678-4669,37.109297,-84.620507,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/somerset-42503-24737/"">Click here to access their website</a>",N/A,Yes,Yes
165,Pulaski,Save-a-Lot,Grocery,"5194 S Hwy 27, Somerset, KY 42501",606-679-4131,37.020119,-84.626515,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/somerset-42501-24736/"">Click here to access their website</a>",N/A,Yes,Yes
166,Pulaski,Aldi,Grocery,"4105 S Hwy 27 S, Somerset, KY 42501",855-955-2534,37.036138,-84.628136,Everyday 9-8,"<a href = ""https://www.aldi.us/en/weekly-specials/our-weekly-ads/"">Click here to access their website</a>",N/A,Yes,No
167,Pulaski,Crossroads IGA,Grocery,"1830 KY-80, Somerset, KY 42501",606-678-5962,37.109297,-84.620507,Everyday 6-11pm,"<a href = ""https://www.myiga.com/"">Click here to access their website</a>",N/A,Yes,Yes
168,Pulaski,Hillside Pantry,Grocery,"2020 Etna Rd, Eubank, KY 42567",606-423-1000,37.216768,-84.670345,Mon-Sat 9:30-5,"<a href = ""https://www.hillsidepantryeubank.com/"">Click here to access their website</a>",N/A,Yes,Yes
169,Pulaski,J&J Farm Produce and Deli,Grocery,"476 Parkers Mill Rd, Somerset, KY 42501",606-485-2420,37.040567,-84.619311,"Mon-Fri 9-6, Sat 9-2","<a href = ""https://www.facebook.com/jjfarmproduce"">Click here to access their website</a>",N/A,No,No
170,Rockcastle,IGA,Grocery,"305 US-150, Mt Vernon, KY 40456",606-256-2514,37.351835,-84.345337,Everyday 8-8,"<a href = ""https://www.mtvernoniga.com/"">Click here to access their website</a>",N/A,Yes,Yes
171,Rockcastle,Save-a-Lot,Grocery,"910 W Main St, Mt Vernon, KY 40456",606-256-9810,37.359881,-84.354129,"Mon-Sat 8-9, Sun 12-6","<a href = ""https://savealot.com/grocery-stores/mt-vernon-40456-23520/"">Click here to access their website</a>",N/A,Yes,Yes
172,Rockcastle,Hilltop Produce,Grocery,"1174 S Wilderness Rd, Mt Vernon, KY 40456",606-256-3773,37.347299,-84.320194,Mon-Sat 9-5,"<a href = ""https://www.facebook.com/Hilltop-Produce-Garden-Center-956398751058005/"">Click here to access their website</a>",N/A,No,Yes
173,Rowan,Allen's IGA,Grocery,"224 Plaza Morehead, KY 40351",606-784-4311,38.180012,-83.435958,"Mon-Tues 6:30-10, Wed 6:30-9, Thurs-Sun 6:30-10","<a href = ""https://allens.iga.com/"">Click here to access their website</a>",N/A,Yes,Yes
174,Rowan,Save-a-Lot,Grocery,"303 Lee Clay Ave, Morehead, KY 40351",606-784-6536,38.168727,-83.437601,Everyday 9-9,"<a href = ""https://savealot.com/grocery-stores/morehead-40351-23817/"">Click here to access their website</a>",N/A,Yes,Yes
175,Rowan,Kroger,Grocery,"300 Trademore Center, Morehead, KY 40351",606-784-7529,38.191833,-83.484975,Everyday 7-10,"<a href = ""https://www.kroger.com/stores/details/024/00734?cid=loc_02400734_gmb"">Click here to access their website</a>",N/A,Yes,Yes
176,Rowan,Walmart Supercenter,Grocery,"200 Walmart Way, Morehead, KY 40351",606-784-3262,38.201163,-83.481412,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/1139/morehead-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
177,Russell,Price Less Foods,Grocery,"2453 Lakeway Dr, Russell Springs, KY 42642",270-866-3507,37.067443,-85.07305,"Mon-Sat 7-9, Sun 7-8","<a href = ""https://www.mypricelessfoods.com/"">Click here to access their website</a>",N/A,Yes,Yes
178,Russell,Kroger,Grocery,"181 S, US-127, Russell Springs, KY 42642",606-325-8911,37.061732,-85.071294,Everyday 7-10,"<a href = ""https://www.kroger.com/stores/details/029/00796?cid=loc_02900796_gmb"">Click here to access their website</a>",N/A,Yes,Yes
179,Russell,Save-a-Lot,Grocery,"238 E W Steve Wariner Dr, Russell Springs, KY 42642",270-866-2992,37.065121,-85.075258,"Mon-Sat 8-8, Sun 8-6","<a href = ""https://savealot.com/grocery-stores/russell-springs-42642-45170/"">Click here to access their website</a>",N/A,Yes,Yes
180,Russell,Fruit Market,Grocery,"2408 US-127, Russell Springs, KY 42642",270-866-5250,37.03184,-85.075608,Mon-Sat 8-5,"<a href = ""https://www.facebook.com/pages/category/Deli/Fruit-Market-924650924327340/"">Click here to access their website</a>",N/A,Yes,Yes
181,Wayne,Walmart Supercenter,Grocery,"175 Walmart Plaza Dr, Monticello, KY 42633",606-348-3331,36.857456,-84.848554,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/1234/monticello-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
182,Wayne,Save-a-Lot,Grocery,"1500 N Main St #124, Monticello, KY 42633",606-348-6829,36.847026,-84.834112,Everyday 9-6,"<a href = ""https://savealot.com/grocery-stores/monticello-42633-23468/"">Click here to access their website</a>",N/A,Yes,Yes
183,Whitley,IGA,Grocery,"25 N Highway 25 W, Williamsburg, KY 40769",606-549-2921,36.74746,-84.1593,Everyday 7-10,"<a href = ""https://www.myiga.com/"">Click here to access their website</a>",N/A,Yes,Yes
184,Whitley,Save-a-Lot,Grocery,"12075 S, Hwy 25, Williamsburg, KY 40769",606-786-4111,36.592394,-84.126582,"Mon-Sat 8-9, Sun 10-7","<a href = ""https://savealot.com/grocery-stores/williamsburg-40769-24671/"">Click here to access their website</a>",N/A,Yes,Yes
185,Whitley,Walmart Supercenter,Grocery,"589 W, KY-92, Williamsburg, KY 40769",606-549-4075,36.720827,-84.171286,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/1048/williamsburg-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
186,Whitley,Save-a-Lot,Grocery,"1645 South Hwy 25, Williamsburg, KY 40769",606-549-5794,36.722813,-84.163556,Everyday 9-6,"<a href = ""https://savealot.com/grocery-stores/williamsburg-40769-23476/"">Click here to access their website</a>",N/A,Yes,Yes
187,Whitley,Johnny Creekmore Riverside Produce,Grocery,"1378 Hwy 25, Williamsburg, KY 40769",606-549-3215,36.726019,-84.160928,N/A,N/A,N/A,No,No
188,Whitley,Kroger,Grocery,"1019 Cumberland Falls Hwy, Corbin, KY 40701",606-526-1717,36.928573,-84.104651,Everyday 7-10,"<a href = ""https://www.kroger.com/stores/details/024/00719?cid=loc_02400719_gmb"">Click here to access their website</a>",N/A,Yes,Yes
189,Whitley,Save-a-Lot,Grocery,"1520 Cumberland Falls Hwy, Corbin, KY 40701",606-528-3763,36.925268,-84.112948,Everyday 9-6,"<a href = ""https://savealot.com/grocery-stores/corbin-40701-23472/"">Click here to access their website</a>",N/A,Yes,Yes
190,Wolfe,Save-a-Lot,Grocery,"719 KY-15, Campton, KY 41301",606-668-7965,37.723848,-83.534445,"Mon-Sat 8-9, Sun 9-9","<a href = ""https://savealot.com/grocery-stores/campton-41301-24813/"">Click here to access their website</a>",N/A,Yes,Yes
191,Wolfe,Kenny's Gas & Grocery,Grocery,"6580 KY-15, Campton, KY 41301",606-668-6813,37.666647,-83.484951,Everyday 8-9,"<a href = ""https://www.facebook.com/kennysgasgrocery/?rf=134432753266406"">Click here to access their website</a>",N/A,Yes,Yes