OBJECTID,county,name,sector,address,phone,y,x,hours,website,re_lib_serves,bookmobile
38,Bell,Middlesboro- Bell County Public Library,library,"126 South 20th Street P.O. Box 1677 Middlesboro, KY 40965-3677",606-248-4812,36.606287,-83.714346,"Mon-Fri 9-6, Sat 10-4","<a href = ""http://www.bellcpl.org/"">Click here to access their website</a>","Bookmobile, free Community Room rental, Hoopla ebooks, free computer access",Yes
130,Clay,Clay County Public Library,library,211 Bridge Street Manchester KY 40962-1203,606-598-2617,37.154081,-83.761274,"Mon 9-8, Tues-Wed 9-5, Thurs 9-8, Fri 9-5, Sat 9-1","<a href = ""http://www.claycountylibrary.org/"">Click here to access their website</a>","Free computer access, free community room, bookmobile, ebooks, online test prep, free classes",Yes
152,Cumberland,Cumberland County Public Library,library,"114 Hill Street P.O. Box 440 Burkesville, KY 42717-0440",270-864-2207,36.790841,-85.371266,"Mon-Fri,8:30-4:50, Sat 8:30-11:50","<a href = ""http://cumberlandcountylibrary.org"">Click here to access their website</a>","Free computer access, free WiFi, bookmobile, genealogy resources, printing services",Yes
172,Estill,Estill County Public Library,library,"246 Main Street Irvine, KY 40336-1099",606-723-3030,37.702929,-83.974995,"Mon-Fri 10-6, Sat 10-3","<a href = ""https://estillpublib.org/"">Click here to access their website</a>","Free computer access, free WiFi, free notary services, printing services, bookmobile, computer classes",Yes
183,Fleming,Fleming County Public Library,library,"202 Bypass Boulevard Flemingsburg, KY 410141-1298",606-845-7851,38.41654,-83.751438,"Mon 8-6, Tues 8-8, Mon 8-6, Thurs 8-8, Fri 8-5, Sat 8-3","<a href = ""http://www.youseemore.com/fleming"">Click here to access their website</a>","ebooks, bookmobile, children services, book clubs",Yes
205,Floyd,Floyd County Public Library,library,161 North Arnold Avenue Prestonsburg KY 41653-1269,606-886-2981,37.668148,-82.774891,"Mon 8:30-5, Tues 8:30-6:30, Wed 8:30-5, Thurs 8:30-6:30, Fri 8:30-5, Sat 8:30-1","<a href = ""http://www.fclib.org"">Click here to access their website</a>","Printing services, free computer access, meeting rooms, book clubs, geneology room, free WiFi, free programs, test proctoring, bookmobile",Yes
206,Floyd,Eastern Branch Library,library,"10983 KY Route 80 Eastern, KY 41622",606-377-2860,37.506349,-82.814515,"Mon 8:30-5, Tues 8:30-6:30, Wed 8:30-5, Thurs 8:30-6:30, Fri 8:30-5, Sat 8:30-1","<a href = ""http://www.fclib.org"">Click here to access their website</a>","Printing services, free computer access, meeting rooms, book clubs, geneology room, free WiFi, free programs, test proctoring, bookmobile",Yes
230,Greenup,Flatwoods Branch Library,library,1705 Argillite Road Flatwoods KY 41139,606-836-3771,38.524198,-82.716311,"Mon-Tues 10-8, Wed 10-5, Thurs 10-8, Fri-Sat 10-5","<a href = ""www.youseemore.com/greenup/"">Click here to access their website</a>","Hoopla ebooks, bookmobile,genealogy services, online test prep",Yes
231,Greenup,Greenup County Public Library,library,"508 Main Street Greenup, KY 41144",606-473-6514,38.576868,-82.835767,"Mon 9-8, Tues-Wed 9-5, Thurs 9-8, Sat 9-2","<a href = ""http://www.youseemore.com/greenup/"">Click here to access their website</a>","Hoopla ebooks, bookmobile,genealogy services, online test prep",Yes
232,Greenup,McKell Branch Library,library,"22 McKell Lane South Shore, KY 41175",606-932-4478,38.723388,-82.946916,"Mon 9-8, Tues-Fri 9-5, Sat 9-2","<a href = ""www.youseemore.com/greenup/"">Click here to access their website</a>","Hoopla ebooks, bookmobile,genealogy services, online test prep",Yes
274,Jackson,Jackson County Public Library,library,338 North Main Street McKee KY 40447,606-287-8113,37.43051,-84.000347,"Mon 8:30-6, Tues-Wed 8:30-5, Thurs 8:30-6, Fri 8:30-5, Sat 10-2","<a href = ""http://www.jacksoncolibky.com"">Click here to access their website</a>","Community room, veterans virtual living room, bookmobile, online test prep, work services, children and teen services",Yes
287,Johnson,Johnson County Public Library,library,444 Main Street Painstville KY 41240-0788,606-789-4355,37.813394,-82.808218,"Mon 9:30-5, Tues 9:30-8, Wed 9:30-5, Thurs 9:30-8, Fri 9:30-5, Sat 9-2","<a href = ""http://www.johnsoncountypubliclibrary.org"">Click here to access their website</a>","Free computer access, printing services, bookmobile, meeting rooms, free WiFi, free community workshop",Yes
319,Knox,Knox County Public Library,library,"206 Knox Street Barbourville, KY 40906-1428",606-546-5339,36.866634,-83.887463,"Mon-Wed 9-5, Thurs 12-7, Fri 9-5, Sat 9-1","<a href = ""http://knoxpubliclibrary.com"">Click here to access their website</a>","Free computer access, bookmobile",Yes
338,Laurel,Laurel County Public Library,library,120 College Park Drive London KY 40741-1414,606-864-5759,37.116019,-84.060935,"Mon-Fri 9-8, Sat 9-5, Sun 1-5","<a href = ""http://www.laurellibrary.org"">Click here to access their website</a>","Free computer access, printing services, free WiFi, bookmobile, outreach services",Yes
352,Lawrence,Lawrence County Public Library,library,102 West Main Street Louisa KY 41230,606-638-4497,38.114723,-82.604689,"Mon 9-5, Tues 9-6, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 9-1","<a href = ""http://lcplky.org"">Click here to access their website</a>","Free WiFi, quiet rooms, bookmobile, teen and childrens programs, ebooks",Yes
370,Leslie,Leslie County Public Library,library,"22065 Main Street Hyden, KY 41749",606-672-2460,37.161899,-83.374865,"Mon 8-5, Tues 8-8, Wed 8-5, Thurs 8-8, Fri 8-5, Sat 8-2","<a href = ""http://www.leslielibrary.com"">Click here to access their website</a>","Ebooks, bookmobile, free online classes",Yes
386,Letcher,Blackey Public Library,library,"295 Main Street Loop, P.O. Box 337 Blackey KY 41804-0037",606-633-4013,37.139918,-82.980009,"Mon-Tues 9-5, Wed 9-7, Thurs 9-5, Fri 9-5, Sat 9-4","<a href = ""http://lcld.org/blackey.html"">Click here to access their website</a>","Free computer access, free WiFi, printing services, reading and outreach programs, bookmobile",Yes
387,Letcher,Harry M. Caudill Memorial Library,library,220 Main Street Whitesburg KY 41858,606-633-7547,37.117649,-82.825929,"Mon-Tues 9-5, Wed 9-7, Thurs 9-5, Fri 9-5, Sat 9-4","<a href = ""http://lcld.org"">Click here to access their website</a>","Free computer access, free WiFi, printing services, reading and outreach programs, bookmobile",Yes
388,Letcher,Fleming Neon Public Library,library,1008 Highway 317 P.O. Box 236 Neon KY 41840,606-855-4565,37.192277,-82.713489,"Mon-Tues 9-5, Wed 9-7, Thurs 9-5, Fri 9-5, Sat 9-4","<a href = ""http://lcld.org"">Click here to access their website</a>","Free computer access, free WiFi, printing services, reading and outreach programs, bookmobile",Yes
390,Letcher,Jenkins Public Library,library,9543 Highway 805 P.O. Box 687 Jenkins KY 41537-0687,606-832-4101,37.172571,-82.633255,"Mon-Tues 9-5, Wed 9-7, Thurs 9-5, Fri 9-5, Sat 9-4","<a href = ""http://lcld.org"">Click here to access their website</a>","Free computer access, free WiFi, printing services, reading and outreach programs, bookmobile",Yes
399,Lewis,Lewis County Public Library,library,27 Third Street Vanceburg KY 41179-7682,606-796-2532,38.600242,-83.317296,"Mon-Tues 8:30-5, Wed 8:30-12:30, Thurs-Fri 8:30-5, Sat 8:30-12:30","<a href = ""http://lewiscountylibrary.net/index.html"">Click here to access their website</a>","Hoopla ebooks, bookmobile, online test prep, online job resources",Yes
479,McCreary,McCreary County Public Library,library,6 North Main Street P.O. Box 8 Whitley City KY 42653-0008,606-376-8738,36.725726,-84.469377,"Mon 9-7, Tues-Wed 9-5:30, Thurs 9-7, Fri 9-5:30, Sat 9-4","<a href = ""http://www.mccrearylibrary.org"">Click here to access their website</a>","Free WiFi, free computer access, bookmobile",Yes
516,Morgan,Morgan County Public Library,library,151 University Avenue West KY 41472-1140,606-743-4151,37.899106,-83.288633,"Mon-Tues 9-7, Wed 9-5, Thurs-Fri 9-7, Sat 10-3","<a href = ""http://www.youseemore.com/mcpl"">Click here to access their website</a>","Free computer and internet access, bookmobile, meeting rooms, teen and children services, computer classes, Ancestry library",Yes
595,Powell,Powell County Public Library,library,725 Breckenridge Street Stanton KY 40380-2018,606-663-4511,37.852714,-83.86086,"Mon-Tues 9-7, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 10-3","<a href = ""http://www.pcplky.org"">Click here to access their website</a>","Free computer and internet access, copy services, Ancestry.com, family/adult/teen/children programs, bookmobile and outreach services",Yes
629,Pulaski,Burnside Branch Library,library,85 East French Avenue Burnside KY 42519,606-561-5287,36.990141,-84.598954,"Mon 10-5, Tues 12-7, Wed 10-5, Thurs 12-7, Fri 10-5,  Sat 9-12","<a href = ""http://www.pulaskipubliclibrary.org"">Click here to access their website</a>","Meeting rooms, notary services, book-a-librarian, passport services, bookmobile and outreach services",Yes
630,Pulaski,Nancy Branch Library,library,Mills Spring Plaza Nancy KY 42544,606-636-4241,37.1305829,-84.8783297,"Mon 10-5, Tues 12-7, Wed 10-5, Thurs 12-7, Fri 10-5,  Sat 9-12","<a href = ""http://www.pulaskipubliclibrary.org"">Click here to access their website</a>","Meeting rooms, notary services, book-a-librarian, passport services, bookmobile and outreach services",Yes
631,Pulaski,Pulaski County Public Library,library,304 South Main Street Somerset KY 42501,606-679-8401,36.990141,-84.598954,"Mon-Fri 9-7, Sat 9-5","<a href = ""http://www.pulaskipubliclibrary.org"">Click here to access their website</a>","Meeting rooms, notary services, book-a-librarian, passport services, bookmobile and outreach services",Yes
632,Pulaski,Science Hill Branch Library,library,215 Main Street Science Hill KY 42553,606-423-4221,37.176777,-84.635128,"Mon 10-5, Tues 12-7, Wed 10-5, Thurs 12-7, Fri 10-5,  Sat 9-12","<a href = ""http://www.pulaskipubliclibrary.org"">Click here to access their website</a>","Meeting rooms, notary services, book-a-librarian, passport services, bookmobile and outreach services",Yes
633,Pulaski,Shopville Branch Library,library,144 Shopville Road Somerset KY 42503,606-274-1671,37.159109,-84.484018,"Mon 10-5, Tues 12-7, Wed 10-5, Thurs 12-7, Fri 10-5,  Sat 9-12","<a href = ""http://www.pulaskipubliclibrary.org"">Click here to access their website</a>","Meeting rooms, notary services, book-a-librarian, passport services, bookmobile and outreach services",Yes
715,Whitley,Whitley County Public Library,library,"285 South Third Street Williamsburg, KY 40769-1265",606-549-0818,36.741787,-84.15853,"Mon 9-8, Tues-Wed 9-6, Thurs 9-8, Fri 9-6, Sat 9-2","<a href = ""http://www.whitleylibrary.org"">Click here to access their website</a>","Free WiFi, bookmobile, ebooks, community programs, genealogy services, community room",Yes