OBJECTID,county,name,sector,address,phone,y,x,hours,website,re_lib_serves,e_audio
21,Bath,Bath County Memorial Library,library,"24 West Main Street, P.O. Box 380 Owingsville, KY 40360-2015",606-674-2531,38.144855,-83.764481,Mon-Sat 9:30-5:30,"<a href = ""https://www.bathlibrary.org/"">Click here to access their website</a>","Help with test, resumes & more. Free computer access and digital resources. Room rentals.",Yes
38,Bell,Middlesboro- Bell County Public Library,library,"126 South 20th Street P.O. Box 1677 Middlesboro, KY 40965-3677",606-248-4812,36.606287,-83.714346,"Mon-Fri 9-6, Sat 10-4","<a href = ""http://www.bellcpl.org/"">Click here to access their website</a>","Bookmobile, free Community Room rental, Hoopla ebooks, free computer access",Yes
39,Bell,Pineville Public Library,library,"214 Walnut Street, P.O. Box 1490 Pineville KY 40977-1490",606-337-3422,36.760734,-83.696553,"Mon-Fri 9-6, Sat 10-4","<a href = ""http://www.bellcpl.org/"">Click here to access their website</a>","Bookmobile, free Community Room rental, Hoopla ebooks, free computer access",Yes
102,Casey,Casey County Public Library,library,"238 Middlesburg Street Liberty, KY 42539-3002",606-787-9381,37.316471,-84.935906,"Mon-Fri 9-6, Sat 9-3","<a href = ""http://www.caseylibrary.org"">Click here to access their website</a>","Free classes, Free WiFi, free ebooks",Yes
117,Clark,Clark County Public Library,library,370 South Burns Avenue Winchester KY 40391-1876,859-744-5661,37.988408,-84.18845,"Mon-Thurs 9-8, Fri 9-5:30, Sat 9-5pm, Sun 1-5","<a href = ""http://www.clarkbooks.org"">Click here to access their website</a>","Hoopla ebooks, job help, youth services",Yes
130,Clay,Clay County Public Library,library,211 Bridge Street Manchester KY 40962-1203,606-598-2617,37.154081,-83.761274,"Mon 9-8, Tues-Wed 9-5, Thurs 9-8, Fri 9-5, Sat 9-1","<a href = ""http://www.claycountylibrary.org/"">Click here to access their website</a>","Free computer access, free community room, bookmobile, ebooks, online test prep, free classes",Yes
160,Elliott,Rocky J. Adkins Public Library,library,"207 S KY-7 P.O. 750 Sandy Hook, KY 41171-0750",606-738-5796,38.089746,-83.126258,Mon-Frid 8:30-5,"<a href = ""https://www.facebook.com/ECPLRocks/"">Click here to access their website</a>",Ebooks,Yes
183,Fleming,Fleming County Public Library,library,"202 Bypass Boulevard Flemingsburg, KY 410141-1298",606-845-7851,38.41654,-83.751438,"Mon 8-6, Tues 8-8, Mon 8-6, Thurs 8-8, Fri 8-5, Sat 8-3","<a href = ""http://www.youseemore.com/fleming"">Click here to access their website</a>","ebooks, bookmobile, children services, book clubs",Yes
230,Greenup,Flatwoods Branch Library,library,1705 Argillite Road Flatwoods KY 41139,606-836-3771,38.524198,-82.716311,"Mon-Tues 10-8, Wed 10-5, Thurs 10-8, Fri-Sat 10-5","<a href = ""www.youseemore.com/greenup/"">Click here to access their website</a>","Hoopla ebooks, bookmobile,genealogy services, online test prep",Yes
231,Greenup,Greenup County Public Library,library,"508 Main Street Greenup, KY 41144",606-473-6514,38.576868,-82.835767,"Mon 9-8, Tues-Wed 9-5, Thurs 9-8, Sat 9-2","<a href = ""http://www.youseemore.com/greenup/"">Click here to access their website</a>","Hoopla ebooks, bookmobile,genealogy services, online test prep",Yes
232,Greenup,McKell Branch Library,library,"22 McKell Lane South Shore, KY 41175",606-932-4478,38.723388,-82.946916,"Mon 9-8, Tues-Fri 9-5, Sat 9-2","<a href = ""www.youseemore.com/greenup/"">Click here to access their website</a>","Hoopla ebooks, bookmobile,genealogy services, online test prep",Yes
255,Harlan,Evarts Public Library,library,104 Harlan Street P.O. Box 100 Evarts KY 40828-0100,606-837-9703,36.86384,-83.193276,"Mon 9-5, Tues 9-7, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 9-5","<a href = ""http://www.harlancountylibraries.org"">Click here to access their website</a>","Women's club, ebooks, free WiFi",Yes
256,Harlan,Harlan County Public Library,library,107 North Third Street Harlan KY 40831,606-573-5220,36.847186,-83.320197,"Mon 9-5, Tues 9-7, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 9-5","<a href = ""http://www.harlancountylibraries.org"">Click here to access their website</a>","Women's club, ebooks, free WiFi",Yes
257,Harlan,Rebecca Caudill Public Library,library,"310 West Main Street Cumberland, KY 40823-2335",606-589-2409,36.974876,-82.992414,"Mon 9-5, Tues 9-7, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 9-5","<a href = ""http://www.harlancountylibraries.org"">Click here to access their website</a>","Women's club, ebooks, free WiFi",Yes
399,Lewis,Lewis County Public Library,library,27 Third Street Vanceburg KY 41179-7682,606-796-2532,38.600242,-83.317296,"Mon-Tues 8:30-5, Wed 8:30-12:30, Thurs-Fri 8:30-5, Sat 8:30-12:30","<a href = ""http://lewiscountylibrary.net/index.html"">Click here to access their website</a>","Hoopla ebooks, bookmobile, online test prep, online job resources",Yes
443,Madison,Berea Location Library,library,319 Chestnut Street Berea KY 40403-1508,859-986-7112,37.568775,-84.295761,"Mon-Thurs 9-8, Fri 9-6, Sat 9-6, Sun 1-5","<a href = ""https://www.madisonlibrary.org/"">Click here to access their website</a>","Meeting rooms, outreach services, ebooks,printing services",Yes
444,Madison,Madison County Public Library,library,507 West Main Street Richmond KY 40475-1349,859-623-6704,37.749908,-84.299029,"Mon-Thurs 9-8, Fri 9-6, Sat 9-6, Sun 1-5","<a href = ""https://www.madisonlibrary.org/"">Click here to access their website</a>","Meeting rooms, outreach services, ebooks,printing services",Yes
580,Pike,Belfry Branch Library,library,"24371 U.S. Highway 119 Belfry, KY 41514",606-353-9429,37.613117,-82.272403,"Tues, Thurs, Fri 10-7, Sat 9-6","<a href = ""http://www.informationplace.org"">Click here to access their website</a>","Ebooks, online career help, legal form database,genealogical services",Yes
581,Pike,Elkhorn City Branch Library,library,150 East Main Street Elkhorn City KY 41522,606-754-5451,37.30567,-82.353176,"Tues, Thurs, Fri 10-7, Sat 9-6","<a href = ""http://www.informationplace.org"">Click here to access their website</a>","Ebooks, online career help, legal form database,genealogical services",Yes
582,Pike,Phelps Branch Library,library,"38575 State Highway 194 East Phelps, KY 41553-9702",606-456-7860,37.51847,-82.153774,"Tues, Thurs, Fri 10-7, Sat 9-6","<a href = ""http://www.informationplace.org"">Click here to access their website</a>","Ebooks, online career help, legal form database,genealogical services",Yes
583,Pike,Pikeville Public Library,library,119 College Street Pikeville KY 41502,606-432-1285,37.476409,-82.521999,Mon-Fri 10-7,"<a href = ""http://www.informationplace.org"">Click here to access their website</a>","Ebooks, online career help, legal form database,genealogical services",Yes
584,Pike,Vesta Roberts Johnson Memorial Library,library,"180 Highway 610 West Virgie, KY 41572",606-639-9839,37.347842,-82.592082,"Tues, Thurs, Fri 10-7, Sat 9-6","<a href = ""http://www.informationplace.org"">Click here to access their website</a>","Ebooks, online career help, legal form database,genealogical services",Yes
585,Pike,Lee Avenue Branch Library,library,"126 Lee Avenue Pikeville, KY 41501",606-437-6001,37.501614,-82.535128,"Tues, Thurs, Fri 10-7, Sat 9-6","<a href = ""http://www.informationplace.org"">Click here to access their website</a>","Ebooks, online career help, legal form database,genealogical services",Yes
714,Whitley,Corbin Public Library,library,215 Roy Kidd Avenue Corbin KY 40701-1200,606-528-6366,36.949506,-84.094769,"Mon-Tues, 10-7, Wed 10-2, Thurs-Fri 10-7, Sat 10-2","<a href = ""http://www.corbinkylibrary.org"">Click here to access their website</a>","Community programs, ebooks, free internet and computer access, printing services, exam proctoring services",Yes