OBJECTID,county,name,sector,type,address,phone,y,x,hours,website
12,Adair,Lake Cumberland Community Services,Social services,Community,"23 Industry Drive Jamestown, KY 42629",270-384-2147,37.003971,-85.074532,Mon-Fri 8-4:30,"<a href = ""http://www.lc-caa.org/"">Click here to access their website</a>"
13,Adair,Human Resources Department,Social services,Community,"703 Jamestown St, Columbia, KY 42728",270-384-2163,36.984969,-85.062536,Mon-Fri 8-4:30,"<a href = ""https://kentucky.gov/Pages/home.aspx"">Click here to access their website</a>"
58,Boyd,Cares,Social services,Community,"2516 Carter Ave, Ashland, KY 41101
",606-324-2949,38.471565,-82.628701,"Mon-Fri 10-5:30, closed daily 3:30-4:30","<a href = ""https://boydcountycares.org/"">Click here to access their website</a>"
59,Boyd,United Way - NE KY,Social services,Community,"2000 Carter Ave suite d, Ashland, KY 41101",606-325-1810,38.475078,-82.635601,Mon-Fri 8-4,"<a href = ""https://www.uwnek.org/"">Click here to access their website</a>"
60,Boyd,Habitat for Humanity,Social services,Community,"1544 Winchester Ave, Ashland, KY 41101",606-324-1325,38.478611,-82.639936,,"<a href = ""https://www.habitat.org/"">Click here to access their website</a>"
74,Breathitt,Middle KY Community Action,Social services,Community,"171 Howell Heights Jackson, KY 41339",606-666-5902,37.554662,-83.3818,N/A,"<a href = ""https://www.mkcap.org/index.html"">Click here to access their website</a>"
75,Breathitt,Middle KY Community Action Local Office,Social services,Community,"1137 Main Street, Suite 105 ackson, KY 41339",606-666-5902,37.554662,-83.3818,N/A,"<a href = ""https://www.mkcap.org/index.html"">Click here to access their website</a>"
76,Breathitt,Interfaith of Breathitt County,Social services,Community,"1148 Main St, Jackson, KY 41339",606-666-7760,37.554164,-83.38383,Mon-Thurs 9-1,"<a href = ""https://www.facebook.com/InterfaithBC/"">Click here to access their website</a>"
87,Carter,Northeast KY Community Action,Social services,Community,"539 Hitchins Ave, Olive Hill, KY 41164",606-286-4443,38.298809,-83.18657,N/A,"<a href = ""http://nkcaa.net/"">Click here to access their website</a>"
90,Carter,"Bethany House Christian Service Center, Inc.",Social services,Community,"106 Hillside St, Olive Hill, KY 41164",606-286-5045,38.298448,-83.174446,N/A,"<a href = ""https://www.facebook.com/BETHANYHOUSECSC"">Click here to access their website</a>"
113,Clark,Clark County Community Services,Social services,Community,"30 Taylor Ave, Winchester, KY 40391",859-744-5034,37.995868,-84.184881,Mon-Fri 9-2,"<a href = ""http://www.clarkcountyCommunityservices.org/"">Click here to access their website</a>"
115,Clark,Evergreen Community Support,Social services,Community,"11 S Highland St, Winchester, KY 40391, USA",859-745-0111,37.992306,-84.17525,Mon-Fri 9-5,"<a href = ""https://www.facebook.com/evergreenCommunitysupports/"">Click here to access their website</a>"
116,Clark,National Youth Advocate Program,Social services,Community,"104 W Broadway St, Winchester, KY 40391",859-385-4669,37.994025,-84.179014,Mon-Fri 8-4:30,"<a href = ""https://www.nyap.org/nyap-locations/kentucky.html"">Click here to access their website</a>"
129,Clay,Daniel Boone Community Action Agency,Social services,Community,"33 Marcum Hill Rd, Manchester, KY 40962",606-598-5127,37.155536,-83.759203,Mon-Fri 8-4:30,"<a href = ""http://danielboonecaa.org/"">Click here to access their website</a>"
138,Clinton,Lake Cumberland Community Action,Social services,Community,"110 Spring St # A, Albany, KY 42602",606-387-5880,36.6894582,-85.1345326,Mon-Fri 8-4:30,"<a href = ""http://www.lc-caa.org/"">Click here to access their website</a>"
147,Cumberland,Social Service Department,Social services,Community,"232 Keen St, Burkesville, KY 42717",270-864-3834,36.782962,-85.372177,Mon-Fri 8-4:30,"<a href = ""https://www.lcdhd.org/"">Click here to access their website</a>"
149,Cumberland,Lake Cumberland Community Action,Social services,Community,"Courthouse, Burkesville, KY 42717",270-864-4386,36.790142,-85.370545,Mon-Fri 8-4:30,"<a href = ""http://www.lc-caa.org/index.php"">Click here to access their website</a>"
150,Cumberland,US Rural Development,Social services,Community,"202 N Main St, Burkesville, KY 42717",270-864-2631,36.791507,-85.36901,Mon-Fri 8-4:30,"<a href = ""https://www.rd.usda.gov/"">Click here to access their website</a>"
158,Elliott,Kentucky Career Center,Social services,Community,"400 Main St, Sandy Hook, KY 41171",606-738-5796,38.085896,-83.127245,Mon-Fri 8:30-5,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
159,Elliott,Elliott County Christian Community Center,Social services,Community,"157 Main St, Sandy Hook, KY 41171",606-738-4095,38.086378,-83.126253,Mon-Fri 10-4,"<a href = ""https://www.facebook.com/pages/category/Religious-Organization/Elliott-County-Christian-Community-Center-Inc-358544607604109/"">Click here to access their website</a>"
170,Estill,Community-Based Services,Social services,Community,"102 Mack St, Irvine, KY 40336",606-723-5124,37.699871,-83.975874,Mon-Fri 8-4:30,"<a href = ""https://kentucky.gov/health/Pages/default.aspx"">Click here to access their website</a>"
171,Estill,American Red Cross,Social services,Community,"177 Broadway St, Irvine, KY 40336",606-723-1914,37.700457,-83.972406,Mon-Fri 8-4:30,"<a href = ""https://www.redcross.org/"">Click here to access their website</a>"
181,Fleming,Licking Valley Community Action,Social services,Community,"203 High St Flemingsburg, KY 41041",606-845-0081,38.4153237,-83.7387011,Mon-Fri 8-4:30,"<a href = ""http://www.lvcap.com/"">Click here to access their website</a>"
182,Fleming,Habitat for Humanity,Social services,Community,"117 W Main St, Flemingsburg, KY 41041",N/A,38.418829,-83.736135,Mon-Fri 8-4:30,N/A
220,Green,Lake Cumberland Community Services,Social services,Community,"100 E Court St, Greensburg, KY 42743",270-932-7324,37.260712,-85.501186,Mon-Fri 8-4:30,"<a href = ""http://www.lc-caa.org/"">Click here to access their website</a>"
227,Greenup,Social Service Department,Social services,Community,"1103 Seaton Ave, Greenup, KY 41144",606-473-7366,38.570206,-82.832432,Mon-Fri 8-4:30,"<a href = ""https://kentucky.gov/Pages/home.aspx"">Click here to access their website</a>"
229,Greenup,"Emmaus Respite and Resource Center, Inc",Social services,Community,"410 Main St, Greenup, KY 41144",606-547-1140,38.577229,-82.83635,Mon-Fri 8:30-4:30,"<a href = ""http://www.emmausrandr.org/"">Click here to access their website</a>"
248,Harlan,Harlan County CAA,Social services,Community,"319 Camden Street, Old National Guard Armory, Harlan, KY 40831",606-573-5330,36.840232,-83.328029,Mon-Fri 8-4:30,"<a href = ""https://harlancountycaa.com/"">Click here to access their website</a>"
252,Harlan,Harlan County CAA,Social services,Community,"319 Camden Street Harlan, KY 40831",606-573-5335,36.840232,-83.328029,Mon-Fri 805,"<a href = ""harlancountycaa.com"">Click here to access their website</a>"
254,Harlan,Mountain Association for Community Economic Development (MACED),Social services,Community,"433 Chestnut St. Berea, KY 40403",859-986-2373,37.567559,-84.298183,Mon-Fri 8-5,"<a href = ""https://maced.org/"">Click here to access their website</a>"
271,Jackson,Daniel Boone Community Action Agency,Social services,Community,"5748 State Hwy 290, McKee, KY 40447",606-364-4484,37.360028,-83.974797,Mon-Fri 8-4:30,"<a href = ""http://danielboonecaa.org/"">Click here to access their website</a>"
273,Jackson,Daniel Boone Development,Social services,Community,"5748 KY Hwy 290 McKee, KY 40447",606-364-4484,37.128665,-83.7614636,Mon -Fri  8-4:30,"<a href = ""http://danielboonecaa.org/"">Click here to access their website</a>"
314,Knox,"KCEOC Community Action Partinership, Inc",Social services,Community,"5448 Old Dixie Hwy A, Gray, KY 40734",606-546-3152,36.9196518,-83.9323048,Mon-Fri 8-5,"<a href = ""http://www.povertyisreal.org/index.php?lang=en"">Click here to access their website</a>"
316,Knox,Lend-A-Hand Center,Social services,Community,"3234 State Hwy 718, Walker, KY 40997",606-542-4212,36.8837622,-83.687205,N/A,"<a href = ""https://www.facebook.com/lendahandcenter/"">Click here to access their website</a>"
333,Laurel,Pennyrile Allied Community Services,Social services,Community,"1612 Hampton Rd, London, KY 40741",606-330-0708,37.108472,-84.074477,N/A,"<a href = ""http://www.pacs-ky.org/"">Click here to access their website</a>"
334,Laurel,American Red Cross,Social services,Community,"107 C V B Dr, London, KY 40741",606-878-6333,37.1287351,-84.0841454,N/A,"<a href = ""https://www.redcross.org/local/kentucky.html"">Click here to access their website</a>"
336,Laurel,Daniel Boone Development,Social services,Community,"188 Dog Patch Trading Center London, KY 40741",606-864-9121,37.1464721,-84.1106611,Mon-Fri 8-4:30,"<a href = ""http://danielboonecaa.org/"">Click here to access their website</a>"
358,Lee,Lee County Habitat for Humanity,Social services,Community,"Main St, Beattyville, KY 41311",N/A,37.5744028,-83.7104985,N/A,"<a href = ""https://www.habitat4humanity.org/"">Click here to access their website</a>"
360,Lee,Middle KY Community Action,Social services,Community,"1970 Old Hwy 11 Beattyville, KY 41311",606-464-2259,37.637268,-83.694037,Mon-Fri 8-4:30,"<a href = ""https://mkcap.org/index.html"">Click here to access their website</a>"
383,Letcher,Cowan Community Center,Social services,Community,"81 Sturgill Branch, Whitesburg, KY 41858",606-633-3187,37.067587,-82.857315,N/A,"<a href = ""http://www.cowansocial services-communitycenter.org/"">Click here to access their website</a>"
384,Letcher,Eolia Christian Community Outreach,Social services,Community,"135 Emily Ln, Eolia, KY 40826",606-633-2992,37.049198,-82.804403,N/A,"<a href = ""http://www.eccotruth.org/"">Click here to access their website</a>"
412,Lincoln,Bluegrass Community Action,Social services,Community,"201 E Main St #5, Stanford, KY 40484",606-365-2312,37.528977,-84.660649,Mon-Fri 8-4:30,"<a href = ""http://www.bluegrassCommunityaction.org/"">Click here to access their website</a>"
439,Madison,Kentucky Department for Community-Based Services,Social services,Community,"304 Anna Hume Blvd, Richmond, KY 40476",859-626-5833,37.758791,-84.269396,Mon-Fri 8-4:30,"<a href = ""https://chfs.ky.gov/agencies/dcbs/Pages/default.aspx"">Click here to access their website</a>"
440,Madison,Habitat for Humanity,Social services,Community,"1417 E Main St, Richmond, KY 40475",859-625-9208,37.742247,-84.278704,Mon-Fri 8:30-5,"<a href = ""https://hfhmcc.org/"">Click here to access their website</a>"
466,Martin,Appalachia Reach Out,Social services,Community,"2570 Rockcastle Rd, Inez, KY 41224",606-298-7470,37.895421,-82.55276,Mon-Fri 9-4,"<a href = ""https://www.appalachiareachout.com/"">Click here to access their website</a>"
486,Menifee,Gateway Community Action Agency,Social services,Community,"59 Main St, Frenchburg, KY 40322",606-768-9741,37.951737,-83.626713,Mon-Fri 8-4:30,"<a href = ""http://gatewaycaa.org/"">Click here to access their website</a>"
501,Montgomery,Evergreen Community Support,Social services,Community,"131 Crescent Dr, Mt Sterling, KY 40353",859-497-8500,38.04451,-83.984797,N/A,"<a href = ""https://www.facebook.com/pages/Evergreen-Community-Support-LLC/864312193604916"">Click here to access their website</a>"
502,Montgomery,Community Action Council,Social services,Community,"118 Maloney Way Mt. Sterling, KY 40353",859-244-2256,38.04858,-83.944142,Mon-Fri 8-4:30,"<a href = ""http://gatewaycaa.org/locations/montgomery-county/"">Click here to access their website</a>"
522,Owsley,Daniel Boone Development,Social services,Community,Owsley County Courthouse,606-593-5153,37.4758059,-83.6751181,Mon-Fri 8-4:30,"<a href = ""http://danielboonecaa.org/"">Click here to access their website</a>"
542,Perry,Perry County Community Ministries,Social services,Community,"151 Miss Edna Ln, Hazard, KY 41701",606-436-2662,37.2749249,-83.2309159,Mon-Fri 8-4:30,"<a href = ""https://www.facebook.com/pages/category/Social-Service/Hazard-Perry-County-Community-Ministries-736403759797774/"">Click here to access their website</a>"
545,Perry,LKLP Safe House,Social services,Community,"398 Roy Campbell Dr, Hazard, KY 41701",606-436-8853,37.271935,-83.229825,N/A,"<a href = ""https://www.lklp.org/"">Click here to access their website</a>"
576,Pike,Habitat for Humanity,Social services,Community,"137 Main St, Pikeville, KY 41501",606-437-4011,37.479026,-82.51805,N/A,"<a href = ""https://www.habitat.org/us-ky/pikeville/sandy-valley-hfh"">Click here to access their website</a>"
622,Pulaski,United Way - South Central KY,Social services,Community,"208 E Mt Vernon St, Somerset, KY 42501",606-679-2974,37.092622,-84.603288,N/A,"<a href = ""https://www.unitedway.org/local/united-states/kentucky/united-way-of-south-central-kentucky"">Click here to access their website</a>"
623,Pulaski,Broadening Horizons Inc,Social services,Community,"176 Enterprise Dr # 3, Somerset, KY 42501",606-679-1173,37.034595,-84.622261,Mon-Fri 8-5,"<a href = ""http://broadeninghorizonsky.com/"">Click here to access their website</a>"
624,Pulaski,Independent Opportunities Comm,Social services,Community,"90 Southern School Rd, Somerset, KY 42501",606-676-0630,37.038229,-84.62276,N/A,"<a href = ""http://independentopportunities.com/"">Click here to access their website</a>"
625,Pulaski,American Cancer Society,Social services,Community,"402 Coomer St # 102, Somerset, KY 42503",606-679-6143,37.081109,-84.618115,N/A,"<a href = ""https://www.facebook.com/CANHELPCASEMANAGEMENT/"">Click here to access their website</a>"
642,Rockcastle,Daniel Boone Community Action Agency,Social services,Community,"105 East Main Street, Box 7 Mt. Vernon, KY 40456",606-256-5315,37.353114,-84.339397,Mon-Fri 8-4:30,"<a href = ""http://danielboonecaa.org/"">Click here to access their website</a>"
657,Rowan,Community Action Agency,Social services,Community,"136 Lee Ave # E, Morehead, KY 40351",606-784-7735,38.189168,-83.427715,Mon-Fri 8-4:30,"<a href = ""http://gatewaycaa.org/locations/rowan-county/"">Click here to access their website</a>"
658,Rowan,Christian Social Services,Social services,Community,"1446 E Main St, Morehead, KY 40351",606-784-5329,38.197455,-83.411683,N/A,"<a href = ""http://www.christiansocialservices.org/index.html"">Click here to access their website</a>"
675,Russell,Lake Cumberland Community Action,Social services,Community,"23 Industry Dr Jamestown, KY 42629",270-343-4565,37.003971,-85.074532,N/A,"<a href = ""http://www.lc-caa.org/"">Click here to access their website</a>"
677,Russell,Habitat for Humanity,Social services,Community,"338 Main St, Russell Springs, KY 42642",270-866-6690,37.058367,-85.083943,N/A,"<a href = ""https://www.habitat.org/"">Click here to access their website</a>"
678,Russell,Community-Based Services,Social services,Community,"100 S Main St, Jamestown, KY 42629",270-343-3196,36.982812,-85.062085,Mon-Fri 8-4:30,"<a href = ""https://chfs.ky.gov/agencies/dcbs/Pages/default.aspx"">Click here to access their website</a>"
679,Russell,Youth Service Center,Social services,Community,"2258 US-127, Russell Springs, KY 42642",270-866-8822,37.034324,-85.073998,Mon-Fri 10-2,"<a href = ""https://www.russell.k12.ky.us/Content2/222"">Click here to access their website</a>"
681,Russell,"Lake Cumberland Area Development District, Inc",Social services,Community,"2384 Lakeway Dr, Russell Springs, KY 42642",270-866-4200,37.066688,-85.072916,Mon-Fri 8-4,"<a href = ""lcadd.org"">Click here to access their website</a>"
691,Wayne,Wayne County Youth Services Center,Social services,Community,"2 Cs-1122, Monticello, KY 42633",606-348-3479,36.830664,-84.866528,Mon-Fri 8-4:30,"<a href = ""https://www3.wayne.kyschools.us/1/Content2/44"">Click here to access their website</a>"
711,Whitley,Bell-Whitley Community Action Agency,Social services,Community,"215 N 4th St, Williamsburg, KY 40769",606-549-3933,36.742875,-84.1616,N/A,"<a href = ""https://www.bellwhitley.com/"">Click here to access their website</a>"
723,Wolfe,Daniel Boone Development,Social services,Community,"10 Court St, Campton, KY 41301",606-668-3509,37.735177,-83.547147,Mon-Fri 8-4:30,"<a href = ""http://danielboonecaa.org/"">Click here to access their website</a>"
724,Wolfe,Department for Community-Based Services,Social services,Community,"330 Main St, Campton, KY 41301",606-668-3175,37.734535,-83.547084,"Mon, Wed-Fri 7-2","<a href = ""https://chfs.ky.gov/agencies/dcbs/Pages/default.aspx"">Click here to access their website</a>"